Num.,Name,Rating,Price,Achievements,Languajes,Developers,Generes
1,Steam Deck,No rating,399.00,0,No languages,No developers,No generes
2,Steam Deck,No rating,399.00,0,No languages,No developers,No generes
3,Steam Deck,No rating,399.00,0,No languages,No developers,No generes
4,Gloomwood,100,19.99,0,English,Dillon Rogers;David Szymanski,Action;Indie;Early Access
5,Marvel’s Spider-Man Remastered,96,59.99,78,English;French;Italian;German;Spanish;Arabic;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese;Russian;Spanish;Swedish;Traditional,Insomniac Games;Nixxes Software,Action;Adventure;Casual
6,Cult of the Lamb,91,24.99,37,English;French;German;Spanish;Japanese;Korean;Portuguese;Russian;Simplified;Traditional,Massive Monster,Action;Adventure;Indie;Strategy
7,PlateUp!,95,17.99,26,English;French;German;Spanish;Japanese;Polish;Portuguese;Russian;Simplified;Traditional,It's happening,Action;Casual;Indie;Strategy
8,Destiny 2: The Witch Queen,79,39.99,0,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
9,Destiny 2: Lightfall + Annual Pass,95,99.99,0,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
10,Destiny 2: The Witch Queen Deluxe Edition,81,79.99,0,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
11,Valve Index VR Kit,No rating,999.00,0,No languages,No developers,No generes
12,Ready or Not,92,39.99,0,English;French;German;Czech;Korean;Simplified,VOID Interactive,Action;Adventure;Indie;Early Access
13,ELDEN RING,90,59.99,0,No languages,No developers,No generes
14,Red Dead Redemption 2,88,59.99,0,No languages,No developers,No generes
15,Destiny 2: Legacy Collection,46,59.99,0,No languages,No developers,No generes
16,JoJo's Bizarre Adventure: All-Star Battle R,84,49.99,46,English;French;Italian;German;Spanish;Simplified;Traditional;Japanese;Korean,CyberConnect2 Co. Ltd.,Action
17,Orcs Must Die! 3,83,29.99,38,English;French;Italian;German;Spanish;Arabic;Czech;Danish;Finnish;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese;Russian;Simplified;Swedish;Turkish,Robot Entertainment,Action;Adventure;Indie;Strategy
18,Mass Effect™ Legendary Edition,93,59.99,0,No languages,No developers,No generes
19,NBA 2K23,No rating,59.99,0,English;French;Italian;German;Spanish;Japanese;Korean;Simplified;Traditional,Visual Concepts,Simulation;Sports
20,NBA 2K23,No rating,59.99,0,English;French;Italian;German;Spanish;Japanese;Korean;Simplified;Traditional,Visual Concepts,Simulation;Sports
21,NBA 2K23,No rating,59.99,0,English;French;Italian;German;Spanish;Japanese;Korean;Simplified;Traditional,Visual Concepts,Simulation;Sports
22,Total War: WARHAMMER III,66,59.99,95,English;French;Italian;German;Spanish;Czech;Korean;Polish;Portuguese;Russian;Simplified;Traditional;Turkish,CREATIVE ASSEMBLY;Feral Interactive,Action;Strategy
23,Tom Clancy's Ghost Recon® Wildlands,80,49.99,10,English;French;Italian;German;Spanish;Arabic;Simplified;Traditional;Korean;Japanese;Dutch;Polish;Portuguese;Russian;Czech,Ubisoft Paris;Ubisoft Annecy;Ubisoft Bucharest;Ubisoft Montpellier;Ubisoft Milan;Reflections;Ubisoft Belgrade,Action;Adventure
