Num.,Name,Rating,Price,Languajes,Developers,Generes
1,Steam Deck,No rating,399.00,No languages,No developers,No generes
2,Steam Deck,No rating,399.00,No languages,No developers,No generes
3,Steam Deck,No rating,399.00,No languages,No developers,No generes
4,Gunfire Reborn - Visitors of Spirit Realm,94,6.99,English;Simplified;Traditional;Spanish;Spanish;German;Russian;Japanese;Portuguese;Portuguese;Thai;Vietnamese;Korean;French;Italian;Turkish;Polish,Duoyi Games,Action;Adventure;Indie;RPG
5,Destiny 2: Lightfall + Annual Pass,95,99.99,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
6,Cult of the Lamb,91,24.99,English;French;German;Spanish;Japanese;Korean;Portuguese;Russian;Simplified;Traditional,Massive Monster,Action;Adventure;Indie;Strategy
7,Valve Index VR Kit,No rating,999.00,No languages,No developers,No generes
8,Marvel’s Spider-Man Remastered,96,59.99,English;French;Italian;German;Spanish;Arabic;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese;Russian;Spanish;Swedish;Traditional,Insomniac Games;Nixxes Software,Action;Adventure;Casual
9,PlateUp!,96,17.99,English;French;German;Spanish;Japanese;Polish;Portuguese;Russian;Simplified;Traditional,It's happening,Action;Casual;Indie;Strategy
10,No Man's Sky,74,59.99,English;French;Italian;German;Spanish;Dutch;Japanese;Korean;Polish;Portuguese;Portuguese;Russian;Simplified;Traditional,Hello Games,Action;Adventure
11,Call of Duty®: Black Ops III,85,59.99,No languages,No developers,No generes
12,Terminator: Resistance,92,39.99,No languages,No developers,No generes
13,Destiny 2: The Witch Queen Deluxe Edition,81,79.99,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
14,Ready or Not,92,39.99,English;French;German;Czech;Korean;Simplified,VOID Interactive,Action;Adventure;Indie;Early Access
15,Gunfire Reborn,94,19.99,English;Simplified;Traditional;Spanish;Spanish;German;Russian;Japanese;Portuguese;Portuguese;Thai;Vietnamese;Korean;French;Italian;Turkish;Polish,Duoyi Games,Action;Adventure;Indie;RPG
16,ELDEN RING,90,59.99,No languages,No developers,No generes
17,Hogwarts Legacy,No rating,59.99,English;French;Italian;German;Spanish;Arabic;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Avalanche Software,Action;Adventure;RPG
18,Hogwarts Legacy,No rating,59.99,English;French;Italian;German;Spanish;Arabic;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Avalanche Software,Action;Adventure;RPG
19,Total War: WARHAMMER III,65,59.99,English;French;Italian;German;Spanish;Czech;Korean;Polish;Portuguese;Russian;Simplified;Traditional;Turkish,CREATIVE ASSEMBLY;Feral Interactive,Action;Strategy
20,Destiny 2: The Witch Queen,80,39.99,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
21,F1® Manager 2022,No rating,54.99,English;French;Italian;German;Spanish;Dutch;Japanese;Polish;Portuguese;Portuguese;Russian;Simplified;Spanish;Turkish,Frontier Developments,Simulation;Strategy
22,Sekiro™: Shadows Die Twice - GOTY Edition,94,59.99,No languages,No developers,No generes
23,Stray,97,29.99,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional;Turkish;Dutch;Portuguese,BlueTwelve Studio,Adventure;Indie
24,Grand Theft Auto V: Premium Edition,85,14.80,No languages,No developers,No generes
25,Call of Duty®: Black Ops III,85,59.99,No languages,No developers,No generes
26,Hell Let Loose,87,39.99,English;French;German;Spanish;Russian;Simplified;Polish;Portuguese;Traditional;Korean;Japanese,Black Matter Pty Ltd,Action;Indie;Massively Multiplayer;Simulation;Strategy
27,Destiny 2: Bungie 30th Anniversary Pack,54,24.99,English;French;Italian;German;Spanish;Japanese;Korean;Polish;Portuguese;Russian;Simplified;Spanish;Traditional,Bungie,Action;Adventure;Free to Play
28,Destiny 2: Legacy Collection,46,59.99,No languages,No developers,No generes
29,Phasmophobia,97,13.99,English;Portuguese;Spanish;Portuguese;German;French;Italian;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Romanian;Russian;Simplified;Swedish;Traditional;Turkish;Ukrainian,Kinetic Games,Action;Indie;Early Access
30,Age of Empires IV,86,59.99,English;French;Italian;German;Spanish;Japanese;Korean;Portuguese;Russian;Simplified;Spanish;Traditional;Turkish;Vietnamese,Relic Entertainment;World's Edge,Strategy
31,Detroit: Become Human,93,39.99,No languages,No developers,No generes
32,Madden NFL 23,31,59.99,English,Tiburon,Simulation;Sports
