;Nombre;Popularidad;Valoración;Plataforma;Desarrollador;Género;Jugadores;Lanzamiento;Precio
0;Thymesia;Magnífica;6.0;PC;OverBorder Studi;Rol;1;18 de agosto de 2022;0.0
1;Spider-Man;Magnífica;8.4;PC;Insomniac Gam;Acción;1;12 de agosto de 2022;0.0
2;Cult of the La;Magnífica;8.3;PC;Massive Monst;Acción;1;11 de agosto de 2022;0.0
3;Way of the Hunt;Magnífica;5.9;PC;Nine Rocks Gam;Deportes;Cooperativo;16 de agosto de 2022;34.95
4;Tower of Fantasy;Magnífica;8.1;PC;Hotta Studi;Rol;1;10 de agosto de 2022;0.0
5;Hard West II;Magnífica;8.5;PC;Ice Code Gam;Estrategia;1;2022;0.0
6;Two Point Campus;Magnífica;8.8;PC;Two Point Studi;Estrategia;1;9 de agosto de 2022;0.0
7;The Quarry;Magnífica;5.0;PC;Supermassive Gam;Aventura;Multijugador;10 de junio de 2022;0.0
8;Saints Row;Magnífica;7.1;PC;Volition;Acción;Cooperativo;23 de agosto de 2022;54.95
9;Cartel Tycoon;Magnífica;0.0;PC;Moon M;Estrategia;1;26 de julio de 2022Juego con acceso anticipad;0.0
10;Stray;Magnífica;8.8;PC;BlueTwelve Studi;Acción;1;19 de julio de 2022;0.0
11;IMMORTALITY;Magnífica;0.0;PC;Sam Barlow;Aventura;1;30 de agosto de 2022;0.0
12;Immortals Fenyx Rising;Magnífica;8.4;PC;UbiSoft;Acción;1;3 de diciembre de 2020;19.99
13;Midnight Fight Express;Magnífica;8.0;PC;Jacob Dzwin;Acción;;23 de agosto de 2022;0.0
14;Saint's Row: The Third;Magnífica;9.0;PC;Volition;Acción;Cooperativo;18 de noviembre de 2011;19.99
15;Fueled Up;Magnífica;0.0;PC;Fireline Gam;Acción;Multijugador;2022;0.0
16;The Day Bef;Magnífica;8.5;PC;Fntastic;Acción;1;1 de marzo de 2023;0.0
17;Dying Light 2;Magnífica;9.0;PC;Techlan;Acción;Multijugador;4 de febrero de 2022;49.95
18;Valorant;Magnífica;5.1;PC;Riot Gam;Acción;Masivo;2 de junio de 2020;50.0
19;Crayon Shin chan;Magnífica;0.0;PC;Neos Corporation;Acción;1;31 de agosto de 2022;0.0
20;MultiVersus;Magnífica;9.1;PC;Warner Bros.;Acción;Multijugador;26 de julio de 2022;0.0
21;Genshin Impact;Magnífica;8.8;PC;miHoY;Rol;Multijugador;28 de septiembre de 2020;0.0
22;Stea;Magnífica;9.6;PC;Valv;Otros;;12 de septiembre de 2003;0.0
23;MADiSO;Magnífica;7.8;PC;BLOODIOUS GAMES;Acción;1;8 de julio de 2022;0.0
24;Project Zomboid;Magnífica;9.2;PC;Indie Stone Studi;Acción;1;8 de noviembre de 2013Juego con acceso anticipad;0.0
25;Far Cry 6;Magnífica;7.8;PC;UbiSoft;Acción;Cooperativo;7 de octubre de 2021;0.0
26;Disney Dreamlight Valley;Magnífica;8.0;PC;Gameloft;Acción;1;3º trimestre de 2022;0.0
27;The Last of Us: Parte 1;Magnífica;9.2;PC;Naughty Dog;Acción;;Por determinar en Españ;0.0
28;Soul Hackers 2;Magnífica;9.3;PC;Atlu;Rol;1;26 de agosto de 2022;0.0
29;FIFA 23;Magnífica;5.4;PC;EA Sport;Deportes;Cooperativo;30 de septiembre de 2022;59.95
30;Rumblevers;Magnífica;8.2;PC;Iron Galaxy;Acción;Multijugador;11 de agosto de 2022Juego con acceso anticipad;0.0
31;Endling - Extinction is Forev;Magnífica;9.1;PC;Herobeat Studi;Aventura;1;19 de julio de 2022;29.95
32;Expeditions: R;Magnífica;7.0;PC;Logic Artist;Rol;1;20 de enero de 2022;39.95
