Nombre,Popularidad,Valoración,Plataforma,Desarrollador,Género,Jugadores,Lanzamiento,Precio
Thymesia,Magnífic,6.0,PC,OverBorder Studi,Rol,1,18 de agosto de 2022,0.0
Spider-Man,Magnífic,8.4,PC,Insomniac Gam,Acció,1,12 de agosto de 2022,0.0
Cult of the La,Magnífic,8.3,PC,Massive Monst,Acció,1,11 de agosto de 2022,0.0
Way of the Hunt,Magnífic,5.9,PC,Nine Rocks Gam,Deportes,1-2,16 de agosto de 2022,34.95
Tower of Fantasy,Magnífic,8.1,PC,Hotta Studi,Rol,1,10 de agosto de 2022,0.0
Hard West II,Magnífic,8.5,PC,Ice Code Gam,Estrategia,1,2022,0.0
Two Point Campus,Magnífic,8.8,PC,Two Point Studi,Estrategia,1,9 de agosto de 2022,0.0
The Quarry,Magnífic,5.0,PC,Supermassive Gam,Aventura,1-4,10 de junio de 2022,0.0
Saints Row,Magnífic,7.1,PC,Volition,Acció,1-2,23 de agosto de 2022,54.95
Cartel Tycoon,Magnífic,0.0,PC,Moon M,Estrategia,1,26 de julio de 2022Juego con acceso anticipad,0.0
Stray,Magnífic,8.8,PC,BlueTwelve Studi,Acció,1,19 de julio de 2022,0.0
IMMORTALITY,Magnífic,0.0,PC,Sam Barlow,Aventura,1,30 de agosto de 2022,0.0
Immortals Fenyx Rising,Magnífic,8.4,PC,UbiSoft,Acció,1,3 de diciembre de 2020,19.99
Midnight Fight Express,Magnífic,8.0,PC,Jacob Dzwin,Acció,,23 de agosto de 2022,0.0
Saint's Row: The Third,Magnífic,9.0,PC,Volition,Acció,1-2,18 de noviembre de 2011,19.99
Fueled Up,Magnífic,0.0,PC,Fireline Gam,Acción,1-4,2022,0.0
The Day Bef,Magnífic,8.5,PC,Fntastic,Acció,1,1 de marzo de 2023,0.0
Dying Light 2,Magnífic,9.0,PC,Techlan,Acció,1-4,4 de febrero de 2022,49.95
Valorant,Magnífic,5.1,PC,Riot Gam,Acció,"""Jugadores:10",2 de junio de 2020,50.0
Crayon Shin chan,Magnífic,0.0,PC,Neos Corporation,Acció,1,31 de agosto de 2022,0.0
MultiVersus,Magnífic,9.1,PC,Warner Bros.,Acció,1-4,26 de julio de 2022,0.0
Genshin Impact,Magnífic,8.8,PC,miHoY,Rol,1-4,28 de septiembre de 2020,0.0
Stea,Magnífic,9.6,PC,Valv,Otros,,12 de septiembre de 2003,0.0
MADiSO,Magnífic,7.8,PC,BLOODIOUS GAMES,Acció,1,8 de julio de 2022,0.0
Project Zomboid,Magnífic,9.2,PC,Indie Stone Studi,Acció,1,8 de noviembre de 2013Juego con acceso anticipad,0.0
Far Cry 6,Magnífic,7.8,PC,UbiSoft,Acció,1-2,7 de octubre de 2021,0.0
Disney Dreamlight Valley,Magnífic,8.0,PC,Gameloft,Acció,1,3º trimestre de 2022,0.0
The Last of Us: Parte 1,Magnífic,9.2,PC,Naughty Dog,Acció,,Por determinar en Españ,0.0
Soul Hackers 2,Magnífic,9.3,PC,Atlu,Rol,1,26 de agosto de 2022,0.0
FIFA 23,Magnífic,5.4,PC,EA Sport,Deportes,1-22,30 de septiembre de 2022,59.95
Rumblevers,Magnífic,8.2,PC,Iron Galaxy,Acció,1-40,11 de agosto de 2022Juego con acceso anticipad,0.0
Endling - Extinction is Forev,Magnífic,9.1,PC,Herobeat Studi,Aventura,1,19 de julio de 2022,29.95
Expeditions: R,Magnífic,7.0,PC,Logic Artist,Rol,1,20 de enero de 2022,39.95
Opus: Echo of Starsong,Magnífic,8.0,PC,SIGONO INC.,Aventura,1,1 de septiembre de 2021,0.0
n Whit,Magnífic,7.5,PC,Angel Matrix,Acció,1,16 de junio de 2022,0.0
Aliens: Colonial Marines,Magnífic,7.4,PC,Gearbox,Acció,1-12,12 de febrero de 2013,4.99
Digimon Surviv,Magnífic,9.1,PC,WitchCraft,Rol,1,29 de julio de 2022,0.0
F1 22,Magnífic,6.7,PC,Codemast,Conducció,1-22,1 de julio de 2022,34.95
Elden Ring,Magnífic,8.1,PC,FromSoftw,Rol,1-3,25 de febrero de 2022,59.99
Little Nightmares,Magnífic,9.1,PC,Tarsier Studi,Acció,1,28 de abril de 2017,29.95
Black Myth: Wukong,Magnífic,9.6,PC,Game Scienc,Rol,1,Por determinar en Españ,0.0
Gwent: Rogue Mag,Magnífic,9.0,PC,CD Projekt RE,Estrategia,1,7 de julio de 2022,0.0
Death Stranding,Magnífic,8.3,PC,Kojima Production,Acció,1,14 de julio de 2020,59.95
Exapunks,Magnífic,0.0,PC,Zachtronics Industri,Otros,1,22 de octubre de 2019,0.0
Al Andalus 711: Epic history battle ga,Magnífic,0.0,PC,nc Gam,Aventura,1,18 de agosto de 2022,0.0
Rollerd,Magnífic,9.0,PC,Roll7,Acció,1,16 de agosto de 2022,0.0
Skull & Bones,Magnífic,8.1,PC,UbiSoft,Acció,Multij,8 de noviembre de 2022,0.0
Call of Duty: Modern Warfare 2 (2022),Magnífic,9.9,PC,Infinity W,Acció,,28 de octubre de 2022,0.0
Conan Exiles,Magnífic,7.4,PC,Funcom,Acció,"""Jugadores:1-40",8 de mayo de 2018,26.95
Age of Empires IV,Magnífic,8.7,PC,Relic,Estrategia,1-8,28 de octubre de 2021,59.99
Idle Champions of the Forgotten Realms,Magnífic,1.0,PC,Codename Entertainment Inc.,Estrategia,1,25 de marzo de 2020,0.0
Fortnit,Magnífic,7.9,PC,Epic Gam,Acció,"""Jugadores:1-100",28 de julio de 2017,49.95
Cyberpunk 2077,Magnífic,8.9,PC,CD Projekt RE,Rol,1,10 de diciembre de 2020,29.95
Assassin's Creed Valhalla,Magnífic,8.1,PC,UbiSoft,Rol,1,10 de noviembre de 2020,0.0
Sons of the Forest,Magnífic,8.5,PC,Endnight Gam,Acció,,Octubre de 2022,0.0
Ghost Recon Wildlands,Magnífic,9.2,PC,UbiSoft Pari,Acció,"""Jugadores:1-4",7 de marzo de 2017,49.95
Sanitariu,Magnífic,8.6,PC,TLC Edusoft,Aventura,1,30 de abril de 1998,0.0
Grand Theft Auto V,Magnífic,9.2,PC,RockStar Gam,Acció,1,14 de abril de 2015,49.95
Gotham Knights,Magnífic,9.0,PC,Warner Bros. Games Mont,Acció,1-2,25 de octubre de 2022,299.99
Master Mind,Magnífic,7.0,PC,THQ,Acció,,2009,0.0
Lies of P,Magnífic,8.1,PC,Round8 Studi,Rol,1,2023,0.0
The Plucky Squi,Magnífic,9.3,PC,All Possible Futu,Acció,1,2023,0.0
A Plague Tale: Requi,Magnífic,8.9,PC,Asobo Studi,Acció,1,18 de octubre de 2022,0.0
Wonderboy: The Dragon's Trap,Magnífic,8.1,PC,Lizardcub,Acció,1,8 de junio de 2017,0.0
Alone in the Dark (2022),Magnífic,0.0,PC,Pieces Interactiv,Acció,1,2023,0.0
